timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1576584164512,818,getChargingStations Request,200,OK,Thread Group 1-18,text,true,,444571,266,1,1,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,648,0,38
1576584165331,569,getChargingStations Request,200,OK,Thread Group 1-18,text,true,,444571,266,1,1,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,505,0,39
1576584165901,704,getChargingStations Request,200,OK,Thread Group 1-18,text,true,,444571,266,1,1,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,634,0,22
1576584166605,645,getChargingStations Request,200,OK,Thread Group 1-18,text,true,,444571,266,1,1,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,499,0,35
1576584167252,623,getChargingStations Request,200,OK,Thread Group 1-18,text,true,,444571,266,1,1,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,537,0,44
1576584167878,663,getChargingStations Request,200,OK,Thread Group 1-18,text,true,,444571,266,1,1,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,592,0,42
1576584168542,605,getChargingStations Request,200,OK,Thread Group 1-18,text,true,,444571,266,2,2,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,552,0,22
1576584168666,626,getChargingStations Request,200,OK,Thread Group 1-19,text,true,,444571,266,2,2,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,537,0,31
1576584169148,646,getChargingStations Request,200,OK,Thread Group 1-18,text,true,,444571,266,2,2,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,550,0,52
1576584169293,667,getChargingStations Request,200,OK,Thread Group 1-19,text,true,,444571,266,2,2,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,609,0,22
1576584169961,661,getChargingStations Request,200,OK,Thread Group 1-19,text,true,,444571,266,2,2,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,600,0,22
1576584169794,999,getChargingStations Request,200,OK,Thread Group 1-18,text,true,,444571,266,2,2,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,565,0,22
1576584170622,735,getChargingStations Request,200,OK,Thread Group 1-19,text,true,,444571,266,2,2,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,683,0,46
1576584170794,664,getChargingStations Request,200,OK,Thread Group 1-18,text,true,,444571,266,2,2,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,609,0,62
1576584171358,682,getChargingStations Request,200,OK,Thread Group 1-19,text,true,,444571,266,2,2,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,534,0,78
1576584171458,709,getChargingStations Request,200,OK,Thread Group 1-18,text,true,,444571,266,2,2,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,561,0,22
1576584172041,800,getChargingStations Request,200,OK,Thread Group 1-19,text,true,,444571,266,2,2,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,735,0,106
1576584172167,718,getChargingStations Request,200,OK,Thread Group 1-18,text,true,,444571,266,2,2,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,649,0,22
1576584172842,577,getChargingStations Request,200,OK,Thread Group 1-19,text,true,,444571,266,2,2,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,526,0,25
1576584172885,675,getChargingStations Request,200,OK,Thread Group 1-18,text,true,,444571,266,2,2,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,626,0,21
1576584173420,703,getChargingStations Request,200,OK,Thread Group 1-19,text,true,,444571,266,2,2,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,594,0,24
1576584173561,620,getChargingStations Request,200,OK,Thread Group 1-18,text,true,,444571,266,2,2,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,561,0,24
1576584174124,649,getChargingStations Request,200,OK,Thread Group 1-19,text,true,,444571,266,2,2,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,592,0,26
1576584174182,669,getChargingStations Request,200,OK,Thread Group 1-18,text,true,,444571,266,2,2,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,611,0,40
1576584174774,748,getChargingStations Request,200,OK,Thread Group 1-19,text,true,,444571,266,2,2,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,692,0,48
1576584174851,844,getChargingStations Request,200,OK,Thread Group 1-18,text,true,,444571,266,2,2,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,668,0,131
1576584175523,640,getChargingStations Request,200,OK,Thread Group 1-19,text,true,,444571,266,2,2,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,567,0,30
1576584175696,910,getChargingStations Request,200,OK,Thread Group 1-18,text,true,,444571,266,2,2,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,696,0,76
1576584176163,740,getChargingStations Request,200,OK,Thread Group 1-19,text,true,,444571,266,2,2,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,621,0,63
1576584176904,515,getChargingStations Request,200,OK,Thread Group 1-19,text,true,,444571,266,2,2,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,439,0,22
1576584176607,939,getChargingStations Request,200,OK,Thread Group 1-18,text,true,,444571,266,2,2,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,683,0,76
1576584177420,712,getChargingStations Request,200,OK,Thread Group 1-19,text,true,,444571,266,2,2,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,590,0,24
1576584177546,669,getChargingStations Request,200,OK,Thread Group 1-18,text,true,,444571,266,2,2,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,600,0,72
1576584178133,693,getChargingStations Request,200,OK,Thread Group 1-19,text,true,,444571,266,2,2,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,554,0,37
1576584178216,656,getChargingStations Request,200,OK,Thread Group 1-18,text,true,,444571,266,2,2,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,521,0,49
1576584178827,587,getChargingStations Request,200,OK,Thread Group 1-19,text,true,,444571,266,2,2,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,529,0,36
1576584178874,658,getChargingStations Request,200,OK,Thread Group 1-18,text,true,,444571,266,2,2,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,545,0,29
1576584179415,696,getChargingStations Request,200,OK,Thread Group 1-19,text,true,,444571,266,2,2,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,570,0,33
1576584179533,667,getChargingStations Request,200,OK,Thread Group 1-18,text,true,,444571,266,2,2,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,572,0,19
